"","Semester","Year","Status","Cross-listed Course","Major...7","Class","Gender...9","Female?","Finance?","Non-Business","Assigned Section","Survey Y/N","Day/Evening","Food Service","Apparel/Sewing","Other Consumer","Cottage Food","random_id","CompanyLetter","Learning Team","Faculty"
"239","Fall","2022","Registered(08/30/2022)",NA,"Business Management","SR","Male","No","No","No",8,"N",NA,NA,NA,NA,NA,"570OKFV2557RB921",NA,NA,NA
"240","Spring","2023","Registered(03/09/2023)",NA,"Business Management","SR","Male","No","No","No",7,"Y","Daytime Operations (8AM-2PM roughly)","Indifferent or No Opinion","Indifferent or No Opinion","Indifferent or No Opinion","Indifferent or No Opinion","744XXZR3229VW541","G",2,"Brian Christensen"
"241","Fall","2022","Registered(06/07/2022)",NA,"Bus Mgmt Marketing","JR","Female","Yes","No","No",7,"Y","Daytime","No Opinion","Very Interested","Not Interested","Very Interested","851NDIX7625PY533",NA,NA,NA
"242","Fall","2022","Registered(06/09/2022)",NA,"Bus Mgmt Marketing","JR","Female","Yes","No","No",3,"N","Daytime","No Opinion","No Opinion","No Opinion","No Opinion","822GNEE1559NN167",NA,NA,NA
"243","Spring","2023","Registered(03/13/2023)",NA,"Business Management","SO","Male","No","No","No",6,"Y","Daytime Operations (8AM-2PM roughly)","Indifferent or No Opinion","Not Interested","Very Interested","Indifferent or No Opinion","467THRM7783GW554","F",1,"Kent Lundin"
"244","Fall","2022","Registered(06/07/2022)",NA,"International Studies","SR","Female","Yes","No","Yes",6,"Y","Either","Very Interested","Very Interested","Very Interested","Very Interested","139FUBM2418WF997",NA,NA,NA
"245","Spring","2022","Registered(03/08/2022)",NA,"Communication","JR","Female","Yes","No","Yes",5,"Y",NA,"Not Interested","Very Interested","Very Interested","Indifferent or No Opinion","723XTGH4525AA877",NA,NA,NA
"246","Spring","2023","Registered(03/14/2023)",NA,"Business Management","FR","Female","Yes","No","No",4,"Y","Daytime Operations (8AM-2PM roughly)","Not Interested","Very Interested","Very Interested","Indifferent or No Opinion","975NGVQ1267TH535","D",1,"Jared Peterson"
"247","Spring","2023","Registered(03/09/2023)",NA,"Business Management","JR","Female","Yes","No","No",7,"N",NA,"N/A","N/A","N/A","N/A","360RHMB5793CJ504","G",1,"Brian Christensen"
"248","Spring","2022","Registered(03/09/2022)",NA,"FCS Apparel Entrepreneur","SO","Female","Yes","No","Yes",3,"Y",NA,"Not Interested","Very Interested","Very Interested","Very Interested","427NVRL4962XZ234",NA,NA,NA
"249","Spring","2023","Registered(03/06/2023)",NA,"Musical Arts","SR","Female","Yes","No","Yes",8,"Y","Daytime Operations (8AM-2PM roughly)","Very Interested","Not Interested","Indifferent or No Opinion","Indifferent or No Opinion","917OFIW7078KZ917","H",2,"Charlie Crump"
"250","Winter","2023","Registered(11/09/2022)",NA,"Bus Mgmt Marketing","JR","Male","No","No","No",1,"N",NA,"N/A","N/A","N/A","N/A","194JLNK7891DT707","A",2,"Charlie Crump"
"251","Fall","2023","Registered(06/08/2023)",NA,"Bus Mgmt Marketing","JR","Female","Yes","No","No",3,"Y","Evening Operations (8-11AM & 7-10PM roughly)","Very Interested","Indifferent or No Opinion","Not Interested","Indifferent or No Opinion","945WTJV8014WU956","C",1,"Rob Tietjen"
"252","Spring","2023","Registered(03/06/2023)",NA,"International Studies","SR","Female","Yes","No","Yes",7,"Y","Daytime Operations (8AM-2PM roughly)","Very Interested","Very Interested","Not Interested","Not Interested","664VDZB1350OL428","G",2,"Brian Christensen"
"253","Spring","2022","Registered(03/04/2022)",NA,"Business Finance","SR","Male","No","Yes","No",5,"Y","I'm fine with either option","Very Interested","Very Interested","Very Interested","Very Interested","989JMBU6800GG997",NA,NA,NA
"254","Fall","2023","Registered(06/09/2023)",NA,"Business Management","SO","Female","Yes","No","No",5,"Y","Daytime Operations (8AM-2PM roughly)","Very Interested","Very Interested","Indifferent or No Opinion","Very Interested","853BSIK4312HB466","E",2,"Jared Peterson"
"255","Fall","2022","Registered(06/08/2022)",NA,"Business Management","SR","Male","No","No","No",3,"Y","Daytime","Very Interested","No Opinion","No Opinion","Very Interested","662CLPY6207WT915",NA,NA,NA
"256","Fall","2022","Registered(06/08/2022)",NA,"Business Management","JR","Female","Yes","No","No",2,"N","Daytime","No Opinion","No Opinion","No Opinion","No Opinion","104VQCV3602TO217",NA,NA,NA
"257","Fall","2023","Registered(06/28/2023)",NA,"Bus Mgmt Marketing","JR","Female","Yes","No","No",5,"Y","Daytime Operations (8AM-2PM roughly)","Not Interested","Indifferent or No Opinion","Indifferent or No Opinion","Indifferent or No Opinion","975TDEM3153HP470","E",1,"Jared Peterson"
"258","Spring","2023","Registered(03/07/2023)",NA,"Bus Mgmt Marketing","JR","Male","No","No","No",1,"Y","Daytime Operations (8AM-2PM roughly)","Not Interested","Very Interested","Very Interested","Not Interested","731KFAM4645NE948","A",2,"Scott Pope"
"259","Spring","2022","Registered(03/11/2022)",NA,"Interdisciplinary","SO","Male","No","No","Yes",2,"Y","Daytime Operations (8AM-2PM)","Very Interested","Not Interested","Indifferent or No Opinion","Very Interested","103WWFK8073XB931",NA,NA,NA
"260","Spring","2022","Registered(03/04/2022)",NA,"Automotive Tech Mgmt","JR","Male","No","No","Yes",3,"Y","Daytime Operations (8AM-2PM)","Indifferent or No Opinion","Indifferent or No Opinion","Not Interested","Indifferent or No Opinion","641IVVK9307SI187",NA,NA,NA
"261","Spring","2023","Registered(03/14/2023)",NA,"Business Management","JR","Male","No","No","No",9,"Y","I'm fine with either option","Very Interested","Indifferent or No Opinion","Not Interested","Very Interested","969OFWE5428RR779","I",2,"Dave Rowe"
"262","Spring","2023","Registered(03/06/2023)",NA,"Bus Mgmt Marketing","SR","Female","Yes","No","No",2,"Y","Evening Operations (8-11AM & 7-10PM roughly)","Indifferent or No Opinion","Indifferent or No Opinion","Indifferent or No Opinion","Indifferent or No Opinion","505LVCM4422IK819","B",1,"Rob Tietjen"
"263","Fall","2023","Registered(06/06/2023)",NA,"Automotive Tech Mgmt","SR","Male","No","No","Yes",7,"N","N/A","N/A","N/A","N/A","N/A","419SNTZ2557JX443","G",1,"Drew Eagar"
"264","Fall","2022","Registered(05/27/2022)",NA,"Horticulture","JR","Male","No","No","Yes",7,"Y","Daytime","Not Interested","Very Interested","Not Interested","Very Interested","172UWBL1257XF335",NA,NA,NA
"265","Spring","2023","Registered(03/13/2023)",NA,"FCS Apparel Entrepreneur","SR","Female","Yes","No","Yes",7,"N",NA,"N/A","N/A","N/A","N/A","674YFJM4384XK451","G",1,"Brian Christensen"
"266","Fall","2023","Registered(06/06/2023)",NA,"Bus Mgmt Marketing","JR","Female","Yes","No","No",7,"Y","Daytime Operations (8AM-2PM roughly)","Indifferent or No Opinion","Not Interested","Very Interested","Not Interested","401WEYP8373AB844","G",1,"Drew Eagar"
"267","Fall","2022","Registered(06/13/2022)",NA,"Business Management","SO","Female","Yes","No","No",3,"Y","Daytime","No Opinion","Very Interested","No Opinion","Very Interested","902VPVC6839DO682",NA,NA,NA
"268","Fall","2022","Registered(06/13/2022)",NA,"Business Finance","SO","Male","No","Yes","No",1,"N","Daytime","No Opinion","No Opinion","No Opinion","No Opinion","212OTEL4298IV769",NA,NA,NA
"269","Spring","2022","Registered(03/04/2022)",NA,"Bus Mgmt Marketing","SR","Male","No","No","No",5,"Y",NA,"Indifferent or No Opinion","Indifferent or No Opinion","Very Interested","Very Interested","281QJJJ6827WZ744",NA,NA,NA
"270","Spring","2023","Registered(03/14/2023)",NA,"Bus Mgmt Marketing","SO","Female","Yes","No","No",1,"N",NA,"N/A","N/A","N/A","N/A","472NBND7089FY549","A",1,"Scott Pope"
"271","Spring","2023","Registered(03/16/2023)",NA,"Business Management","SR","Male","No","No","No",2,"Y","Evening Operations (8-11AM & 7-10PM roughly)","Very Interested","Very Interested","Indifferent or No Opinion","Not Interested","312LCQA9697XA428","B",3,"Rob Tietjen"
"272","Spring","2023","Registered(03/06/2023)",NA,"Business Management","SR","Male","No","No","No",7,"Y","Daytime Operations (8AM-2PM roughly)","Indifferent or No Opinion","Not Interested","Very Interested","Indifferent or No Opinion","825PAYN7764WS346","G",1,"Brian Christensen"
"273","Fall","2023","Registered(09/12/2023)",NA,"Business Finance","JR","Male","No","No","No",7,"N","N/A","N/A","N/A","N/A","N/A","246HZLE7342ZA127","G",3,"Drew Eagar"
"274","Spring","2022","Registered(03/07/2022)",NA,"FCS Apparel Entrepreneur","SR","Female","Yes","No","Yes",5,"Y",NA,"Indifferent or No Opinion","Very Interested","Very Interested","Not Interested","264KCJJ6103OZ707",NA,NA,NA
"275","Spring","2022","Registered(03/08/2022)",NA,"Bus Mgmt Marketing","JR","Male","No","No","No",3,"N","Daytime Operations (8AM-2PM)","N/A","N/A","N/A","N/A","732LHPD1143WH836",NA,NA,NA
"276","Spring","2022","Registered(03/15/2022)",NA,"Business Management","SO","Male","No","No","No",6,"N",NA,"N/A","N/A","N/A","N/A","530RXUT7177UQ261",NA,NA,NA
"277","Spring","2023","Registered(03/03/2023)",NA,"Business Management","SR","Female","Yes","No","No",2,"N",NA,"N/A","N/A","N/A","N/A","217GGVO8797QH103","B",2,"Rob Tietjen"
"278","Fall","2022","Registered(06/08/2022)",NA,"Business Management","JR","Female","Yes","No","No",7,"Y","Daytime","Very Interested","Very Interested","Not Interested","No Opinion","194IRXT3615KG915",NA,NA,NA
"279","Spring","2023","Registered(03/08/2023)",NA,"Business Management","JR","Male","No","No","No",7,"Y","Daytime Operations (8AM-2PM roughly)","Indifferent or No Opinion","Indifferent or No Opinion","Indifferent or No Opinion","Indifferent or No Opinion","570UNOA9244KJ403","G",2,"Brian Christensen"
"280","Spring","2023","Registered(03/14/2023)",NA,"Business Management","SO","Male","No","No","No",8,"Y","Daytime Operations (8AM-2PM roughly)","Very Interested","Not Interested","Indifferent or No Opinion","Indifferent or No Opinion","107UBPA8483YB742","H",2,"Charlie Crump"
"281","Spring","2022","Registered(03/04/2022)",NA,"Business Finance","JR","Male","No","Yes","No",7,"Y",NA,"Indifferent or No Opinion","Indifferent or No Opinion","Not Interested","Very Interested","662ZBLV4443OC228",NA,NA,NA
"282","Winter","2023","Registered(11/13/2022)",NA,"Bus Mgmt Marketing","JR","Female","Yes","No","No",2,"N",NA,"N/A","N/A","N/A","N/A","777UISK5044SD990","B",3,"Robert Wilson"
"283","Fall","2022","Registered(06/09/2022)",NA,"Marriage and Fam Studies","JR","Male","No","No","Yes",2,"Y","Daytime","Very Interested","No Opinion","Not Interested","Very Interested","614RSJU1849RH989",NA,NA,NA
"284","Spring","2023","Registered(03/09/2023)",NA,"Business Management","JR","Male","No","No","No",4,"Y","Daytime Operations (8AM-2PM roughly)","Very Interested","Not Interested","Very Interested","Very Interested","789BZIO9751HC123","D",1,"Jared Peterson"
"285","Fall","2022","Registered(09/13/2022)",NA,"TBD","SR","Female","Yes","No","No",7,"Y","Daytime","No Opinion","No Opinion","Not Interested","No Opinion","162DGVC6520ZX821",NA,NA,NA
"286","Winter","2023","Registered(11/11/2022)",NA,"Bus Mgmt Marketing","SR","Male","No","No","No",1,"N",NA,"N/A","N/A","N/A","N/A","906DPSL9110YX306","A",1,"Charlie Crump"
"287","Fall","2022","Registered(06/13/2022)",NA,"Bus Mgmt Marketing","JR","Male","No","No","No",4,"Y","Daytime","Not Interested","Very Interested","Not Interested","Very Interested","739OUIJ1450IF404",NA,NA,NA
"288","Spring","2022","Registered(03/08/2022)",NA,"Business Management","JR","Female","Yes","No","No",4,"Y",NA,"Indifferent or No Opinion","Indifferent or No Opinion","Indifferent or No Opinion","Indifferent or No Opinion","236ECCG5263AI292",NA,NA,NA
"289","Spring","2022","Registered(03/04/2022)",NA,"Bus Mgmt Marketing","JR","Male","No","No","No",1,"Y","Daytime Operations (8AM-2PM)","Not Interested","Very Interested","Indifferent or No Opinion","Indifferent or No Opinion","941FXIN8338SN870",NA,NA,NA
"290","Fall","2023","Registered(06/12/2023)",NA,"Bus Mgmt Marketing","SO","Female","Yes","No","No",2,"Y","Daytime Operations (8AM-2PM roughly)","Indifferent or No Opinion","Very Interested","Very Interested","Not Interested","688JSRI7974ED404","B",1,"Mary Maroon"
"291","Winter","2023","Registered(11/21/2022)",NA,"Biomedical Science","JR","Male","No","No","Yes",6,"Y","Daytime Operations (8AM-2PM)","Indifferent or No Opinion","Indifferent or No Opinion","Indifferent or No Opinion","Indifferent or No Opinion","426IYUV4782MX780","F",2,"Chris Boyce"
"292","Fall","2022","Registered(06/07/2022)",NA,"Bus Mgmt Marketing","SR","Male","No","No","No",4,"N","Daytime","No Opinion","No Opinion","No Opinion","No Opinion","699OMXT1746GS945",NA,NA,NA
"293","Fall","2023","Registered(06/09/2023)",NA,"Business Management","SO","Female","Yes","No","No",1,"Y","Daytime Operations (8AM-2PM roughly)","Indifferent or No Opinion","Very Interested","Very Interested","Not Interested","978DRRO4885VF580","A",3,"Scott Pope"
"294","Spring","2023","Registered(03/06/2023)",NA,"Business Management","JR","Female","Yes","No","No",3,"Y","Daytime Operations (8AM-2PM roughly)","Not Interested","Very Interested","Very Interested","Not Interested","712DXBK2182HK244","C",2,"Chris Boyce"
"295","Fall","2023","Registered(06/07/2023)",NA,"Financial Economics","JR","Male","No","Yes","Yes",1,"N","N/A","N/A","N/A","N/A","N/A","136RAPX5013NS759","A",1,"Scott Pope"
"296","Fall","2022","Registered(06/12/2022)",NA,"Business Management","JR","Male","No","No","No",1,"Y","Daytime","No Opinion","No Opinion","No Opinion","No Opinion","632UIRB1576GR362",NA,NA,NA
"297","Winter","2023","Registered(11/04/2022)",NA,"Business Management","SR","Male","No","No","No",4,"Y","Daytime Operations (8AM-2PM)","Indifferent or No Opinion","Indifferent or No Opinion","Indifferent or No Opinion","Indifferent or No Opinion","632UIRB1576GR362","D",2,"Alan Thompson"
"298","Fall","2023","Registered(06/09/2023)",NA,"FCS Apparel Entrepreneur","SR","Female","Yes","No","Yes",4,"Y","Daytime Operations (8AM-2PM roughly)","Not Interested","Very Interested","Indifferent or No Opinion","Not Interested","963UQYP6679NV144","D",3,"Chris Boyce"
"299","Spring","2023","Registered(03/07/2023)",NA,"Bus Mgmt Marketing","SR","Male","No","No","No",7,"N",NA,"N/A","N/A","N/A","N/A","375EUTD5559TE790","G",2,"Brian Christensen"
"300","Fall","2023","Registered(06/09/2023)",NA,"Business Management","JR","Female","Yes","No","No",5,"N","N/A","N/A","N/A","N/A","N/A","466ADYX8402XW973","E",1,"Jared Peterson"
"301","Spring","2022","Registered(03/03/2022)",NA,"Bus Mgmt Marketing","SR","Female","Yes","No","No",3,"N","Daytime Operations (8AM-2PM)","N/A","N/A","N/A","N/A","669ZZNL6825YY407",NA,NA,NA
"302","Winter","2023","Registered(12/06/2022)",NA,"Business Management","JR","Male","No","No","No",8,"N",NA,"N/A","N/A","N/A","N/A","577UTZQ2011XT714","H",2,"Jared Eberhard"
"303","Spring","2023","Registered(03/07/2023)",NA,"Bus Mgmt Marketing","SR","Male","No","No","No",4,"Y","Daytime Operations (8AM-2PM roughly)","Very Interested","Very Interested","Indifferent or No Opinion","Very Interested","998UJJE1289IH632","D",2,"Jared Peterson"
"304","Fall","2022","Registered(08/18/2022)",NA,"Bus Mgmt Marketing","JR","Male","No","No","No",7,"N",NA,NA,NA,NA,NA,"517CLUF4590LS340",NA,NA,NA
"305","Fall","2022","Registered(06/10/2022)",NA,"Bus Mgmt Marketing","JR","Male","No","No","No",2,"N","Daytime","No Opinion","No Opinion","No Opinion","No Opinion","723ZDQK2103VE843",NA,NA,NA
"306","Spring","2023","Registered(03/09/2023)",NA,"Bus Mgmt Marketing","JR","Male","No","No","No",6,"N",NA,"N/A","N/A","N/A","N/A","330GEMW8092XB634","F",1,"Kent Lundin"
"307","Winter","2023","Registered(11/11/2022)",NA,"Communication","JR","Female","Yes","No","Yes",8,"Y","Daytime Operations (8AM-2PM)","Very Interested","Very Interested","Very Interested","Very Interested","160BZXA5204VL789","H",1,"Jared Eberhard"
"308","Fall","2022","Registered(06/06/2022)",NA,"Business Management","SR","Male","No","No","No",2,"Y","Daytime","Very Interested","Very Interested","No Opinion","Very Interested","328NXJI4286FQ568",NA,NA,NA
"309","Winter","2023","Registered(11/09/2022)",NA,"Bus Mgmt Marketing","JR","Male","No","No","No",3,"Y","Daytime Operations (8AM-2PM)","Indifferent or No Opinion","Indifferent or No Opinion","Indifferent or No Opinion","Indifferent or No Opinion","377PLJN3774US702","C",3,"Drew Eager"
"310","Fall","2022","Registered(06/09/2022)",NA,"Therapeutic Recreation","SO","Female","Yes","No","Yes",8,"N","Daytime","No Opinion","No Opinion","No Opinion","No Opinion","141EGTD5665VY503",NA,NA,NA
"311","Spring","2022","Registered(03/03/2022)",NA,"Business Management","SR","Female","Yes","No","No",1,"N",NA,"N/A","N/A","N/A","N/A","188TOMU3536GH931",NA,NA,NA
"312","Spring","2022","Registered(03/11/2022)",NA,"Business Management","SO","Female","Yes","No","No",3,"Y","Daytime Operations (8AM-2PM)","Not Interested","Very Interested","Not Interested","Not Interested","859EEGS7405GG272",NA,NA,NA
"313","Fall","2023","Registered(06/08/2023)",NA,"Interdisciplinary","JR","Female","Yes","No","Yes",8,"Y","Daytime Operations (8AM-2PM roughly)","Very Interested","Indifferent or No Opinion","Indifferent or No Opinion","Very Interested","752SZFO7737OG501","H",1,"Brian Christensen"
"314","Fall","2022","Registered(06/06/2022)",NA,"Bus Mgmt Marketing","SR","Female","Yes","No","No",5,"N","Daytime","No Opinion","No Opinion","No Opinion","No Opinion","288ERBX1630CD124",NA,NA,NA
"315","Fall","2023","Registered(06/13/2023)",NA,"Business Management","JR","Male","No","No","No",1,"N","N/A","N/A","N/A","N/A","N/A","630ZYYE3039OP393","A",2,"Scott Pope"
"316","Winter","2023","Registered(11/21/2022)",NA,"International Studies","SR","Male","No","No","Yes",2,"N",NA,"N/A","N/A","N/A","N/A","131OUSP9750VT362","B",3,"Robert Wilson"
"317","Winter","2023","Registered(11/08/2022)",NA,"Business Management","JR","Female","Yes","No","No",4,"Y","Daytime Operations (8AM-2PM)","Very Interested","Very Interested","Very Interested","Indifferent or No Opinion","949OHKF5673AS942","D",1,"Alan Thompson"
"318","Fall","2023","Registered(06/08/2023)",NA,"Bus Mgmt Marketing","JR","Male","No","No","No",5,"N","N/A","N/A","N/A","N/A","N/A","233UHPR1202DN645","E",3,"Jared Peterson"
"319","Spring","2023","Registered(04/01/2023)",NA,"Business Management","SO","Female","Yes","No","No",4,"Y","Daytime Operations (8AM-2PM roughly)","Very Interested","Indifferent or No Opinion","Indifferent or No Opinion","Very Interested","145QOOM7385BM288","D",2,"Jared Peterson"
"320","Spring","2023","Registered(03/13/2023)",NA,"Bus Mgmt Marketing","SO","Male","No","No","No",8,"Y","Daytime Operations (8AM-2PM roughly)","Indifferent or No Opinion","Indifferent or No Opinion","Very Interested","Not Interested","138CATE1181YQ689","H",3,"Charlie Crump"
"321","Fall","2023","Registered(06/07/2023)",NA,"Graphic Design","SR","Male","No","No","Yes",3,"Y","I'm fine with either option","Very Interested","Very Interested","Indifferent or No Opinion","Indifferent or No Opinion","978PQBB5060CN310","C",1,"Rob Tietjen"
"322","Spring","2023","Registered(03/07/2023)",NA,"Recreation Management","SR","Female","Yes","No","Yes",5,"Y","Daytime Operations (8AM-2PM roughly)","Indifferent or No Opinion","Indifferent or No Opinion","Very Interested","Very Interested","758PHLU6119VT530","E",1,"Jared Eberhard"
"323","Fall","2022","Registered(06/03/2022)",NA,"FCS Apparel Entrepreneur","SR","Female","Yes","No","Yes",5,"Y","Daytime","Very Interested","No Opinion","No Opinion","Very Interested","656DKHS2997QR397",NA,NA,NA
"324","Spring","2022","Registered(03/16/2022)",NA,"Business Management Ops","SR","Male","No","No","No",7,"Y","I'm fine with either option","Very Interested","Indifferent or No Opinion","Indifferent or No Opinion","Very Interested","133RNIM9911GO778",NA,NA,NA
"325","Fall","2023","Registered(06/13/2023)",NA,"Business Management","SO","Male","No","No","No",9,"Y","Daytime Operations (8AM-2PM roughly)","Not Interested","Very Interested","Very Interested","Not Interested","441YJKM6319WU215","I",2,"Dave Rowe"
"326","Spring","2023","Registered(03/08/2023)",NA,"Business Management","SR","Male","No","No","No",5,"Y","Daytime Operations (8AM-2PM roughly)","Indifferent or No Opinion","Not Interested","Very Interested","Indifferent or No Opinion","755QFQD9101CI808","E",2,"Jared Eberhard"
"327","Fall","2022","Registered(06/07/2022)",NA,"Bus Mgmt Marketing","SR","Female","Yes","No","No",1,"N","Daytime","No Opinion","No Opinion","No Opinion","No Opinion","767YYRF9196GC836",NA,NA,NA
"328","Spring","2022","Registered(03/14/2022)",NA,"Bus Mgmt Marketing","SO","Male","No","No","No",6,"Y",NA,"Indifferent or No Opinion","Very Interested","Very Interested","Indifferent or No Opinion","501SGEZ1459CS751",NA,NA,NA
"329","Spring","2023","Registered(03/27/2023)",NA,"Automotive Tech Mgmt","SR","Male","No","No","Yes",2,"Y","Evening Operations (8-11AM & 7-10PM roughly)","Very Interested","Not Interested","Not Interested","Not Interested","207IMUO1249XN124","B",3,"Rob Tietjen"
"330","Spring","2023","Registered(03/03/2023)",NA,"Bus Mgmt Marketing","SR","Female","Yes","No","No",1,"Y","Daytime Operations (8AM-2PM roughly)","Not Interested","Very Interested","Very Interested","Indifferent or No Opinion","162OFLW1976PK372","A",1,"Scott Pope"
"331","Spring","2023","Registered(03/09/2023)",NA,"Health Care Admin","JR","Male","No","No","Yes",3,"N",NA,"N/A","N/A","N/A","N/A","215UXWY1540YH382","C",3,"Chris Boyce"
"332","Spring","2023","Registered(03/03/2023)",NA,"Business Management","SR","Male","No","No","No",9,"Y","Daytime Operations (8AM-2PM roughly)","Very Interested","Indifferent or No Opinion","Not Interested","Indifferent or No Opinion","819MTPQ1770XF802","I",2,"Dave Rowe"
"333","Fall","2023","Registered(06/12/2023)",NA,"Bus Mgmt Marketing","SO","Male","No","No","No",6,"N","N/A","N/A","N/A","N/A","N/A","368YOAC7746OI830","F",3,"Kent Lundin"
"334","Spring","2023","Registered(03/14/2023)",NA,"Business Management","JR","Male","No","No","No",3,"N",NA,"N/A","N/A","N/A","N/A","811YEJB1379YQ416","C",3,"Chris Boyce"
"335","Spring","2022","Registered(03/05/2022)",NA,"FCS Apparel Entrepreneur","SR","Female","Yes","No","Yes",6,"Y","Daytime Operations (8AM-2PM)","Not Interested","Very Interested","Very Interested","Indifferent or No Opinion","121UHHU8938ZA129",NA,NA,NA
"336","Winter","2023","Registered(11/08/2022)",NA,"Bus Mgmt Marketing","JR","Male","No","No","No",8,"Y","Daytime Operations (8AM-2PM)","Very Interested","Very Interested","Indifferent or No Opinion","Not Interested","644VLRC7892AH403","H",2,"Jared Eberhard"
"337","Spring","2022","Registered(03/17/2022)",NA,"Bus Mgmt Marketing","SO","Male","No","No","No",3,"N",NA,"N/A","N/A","N/A","N/A","144ZQFA4582RM859",NA,NA,NA
"338","Spring","2023","Registered(03/04/2023)",NA,"International Studies","SR","Male","No","No","Yes",2,"Y","Evening Operations (8-11AM & 7-10PM roughly)","Very Interested","Indifferent or No Opinion","Very Interested","Indifferent or No Opinion","773JDLN7623EO558","B",2,"Rob Tietjen"
"339","Winter","2023","Registered(11/11/2022)",NA,"Business Management","SO","Male","No","No","No",8,"Y","Daytime Operations (8AM-2PM)","Indifferent or No Opinion","Indifferent or No Opinion","Indifferent or No Opinion","Indifferent or No Opinion","129FDLN3466YJ276","H",3,"Jared Eberhard"
"340","Spring","2022","Registered(03/24/2022)",NA,"Bus Mgmt Marketing","JR","Female","Yes","No","No",6,"N",NA,"N/A","N/A","N/A","N/A","483IUJZ1821RP923",NA,NA,NA
"341","Winter","2023","Registered(11/11/2022)",NA,"Business Management","JR","Male","No","No","No",3,"Y","Daytime Operations (8AM-2PM)","Indifferent or No Opinion","Not Interested","Indifferent or No Opinion","Indifferent or No Opinion","723IOZW9896MH318","C",2,"Drew Eager"
"342","Spring","2023","Registered(03/12/2023)",NA,"Bus Mgmt Marketing","SO","Female","Yes","No","No",8,"Y","Daytime Operations (8AM-2PM roughly)","Very Interested","Not Interested","Indifferent or No Opinion","Very Interested","346UJSV8682LC698","H",1,"Charlie Crump"
"343","Winter","2023","Registered(12/12/2022)",NA,"Bus Mgmt Marketing","JR","Male","No","No","No",7,"Y","Daytime Operations (8AM-2PM)","Not Interested","Not Interested","Very Interested","Not Interested","912MMSC1195TQ676","G",2,"Jared Peterson"
"344","Winter","2023","Registered(11/03/2022)",NA,"Business Finance","SR","Male","No","Yes","No",5,"N",NA,"N/A","N/A","N/A","N/A","474JDUJ1726QL890","E",3,"Rob Tietjen"
"345","Winter","2023","Registered(12/28/2022)",NA,"Business Analytics","SO","Male","No","No","No",1,"N",NA,"N/A","N/A","N/A","N/A","740IYGF5366TR978","A",2,"Charlie Crump"
"346","Winter","2023","Registered(11/15/2022)",NA,"Business Management","SO","Female","Yes","No","No",6,"Y","Daytime Operations (8AM-2PM)","Not Interested","Indifferent or No Opinion","Very Interested","Very Interested","152VLKH9825ZO735","F",3,"Chris Boyce"
"347","Spring","2023","Registered(03/13/2023)",NA,"Computer Info Technology","SO","Male","No","No","Yes",1,"Y","Daytime Operations (8AM-2PM roughly)","Not Interested","Very Interested","Very Interested","Not Interested","603EBNC7615LN964","A",3,"Scott Pope"
"348","Fall","2022","Registered(09/02/2022)",NA,"Bus Mgmt Marketing","SO","Female","Yes","No","No",8,"Y",NA,NA,NA,NA,NA,"704MTAA4830VU577",NA,NA,NA
"349","Fall","2022","Registered(06/06/2022)",NA,"Business Management","SR","Male","No","No","No",7,"Y","Daytime","No Opinion","No Opinion","No Opinion","No Opinion","752WKKJ9946GM292",NA,NA,NA
"350","Spring","2022","Registered(03/10/2022)",NA,"Bus Mgmt Marketing","SR","Female","Yes","No","No",1,"N",NA,"N/A","N/A","N/A","N/A","665UMWU5837BL809",NA,NA,NA
"351","Fall","2023","Registered(06/05/2023)",NA,"Business Management","SR","Female","Yes","No","No",7,"Y","Daytime Operations (8AM-2PM roughly)","Very Interested","Not Interested","Very Interested","Indifferent or No Opinion","310FWYS3336TU607","G",2,"Drew Eagar"
"352","Fall","2023","Registered(06/07/2023)",NA,"Business Management","SR","Male","No","No","No",8,"Y","Daytime Operations (8AM-2PM roughly)","Very Interested","Not Interested","Not Interested","Very Interested","762TASD1121HW799","H",1,"Brian Christensen"
"353","Winter","2023","Registered(11/08/2022)",NA,"Business Management","SR","Male","No","No","No",6,"Y","Daytime Operations (8AM-2PM)","Indifferent or No Opinion","Indifferent or No Opinion","Indifferent or No Opinion","Indifferent or No Opinion","959HLEQ3259HL611","F",2,"Chris Boyce"
"354","Fall","2023","Registered(06/09/2023)",NA,"Psychology","JR","Male","No","No","Yes",6,"Y","Daytime Operations (8AM-2PM roughly)","Very Interested","Indifferent or No Opinion","Indifferent or No Opinion","Not Interested","483CFLZ7019BC173","F",1,"Kent Lundin"
"355","Fall","2023","Registered(06/09/2023)",NA,"Bus Mgmt Marketing","JR","Female","Yes","No","No",1,"Y","Daytime Operations (8AM-2PM roughly)","Indifferent or No Opinion","Very Interested","Not Interested","Indifferent or No Opinion","132OEQE2972XT935","A",2,"Scott Pope"
"356","Fall","2022","Registered(06/08/2022)",NA,"Business Management","JR","Male","No","No","No",4,"N","Daytime","No Opinion","No Opinion","No Opinion","No Opinion","605PTDF7222PA435",NA,NA,NA
"357","Fall","2022","Registered(06/10/2022)",NA,"Bus Mgmt Marketing","SR","Female","Yes","No","No",3,"N","Daytime","No Opinion","No Opinion","No Opinion","No Opinion","868UAFA4902DK884",NA,NA,NA
"358","Fall","2022","Registered(06/10/2022)",NA,"Bus Mgmt Marketing","JR","Male","No","No","No",8,"N","Daytime","No Opinion","No Opinion","No Opinion","No Opinion","548KFNM3563KD858",NA,NA,NA
